04MUq,r4rk1/1bpn1pb1/1p3qpp/p2Pp3/P3P3/1Q3N2/3N1PPP/1BR2RK1 b - - 1 21,d7c5 c1c5 b6c5 b3b7,1268,79,86,1131,advantage capturingDefender middlegame short,https://lichess.org/Gu0Y21gP/black#42,
04MdN,r1b1r1k1/pp2qp1p/2n1p1pQ/3p3N/3P4/2PB4/P4PPP/R4RK1 b - - 2 17,e7f8 h5f6 g8h8 h6h7,1226,77,96,252,fork mate mateIn2 middlegame short,https://lichess.org/0p6uARIs/black#34,Sicilian_Defense,Sicilian_Defense_Morphy_Gambit
04Mis,r1b3k1/5rpp/p1n1Np2/1p1n4/2pP1q2/2P2N2/PPB2PPP/R2QR1K1 w - - 1 18,c2e4 c8e6 e4h7 g8h7,1401,76,86,376,advantage hangingPiece middlegame short,https://lichess.org/aQ1CjDrE#35,Sicilian_Defense,Sicilian_Defense_Old_Sicilian
04Mmx,4r1k1/4P1pb/r6p/p1p1p3/P2p2PP/1P3R2/2P2R2/6K1 b - - 0 40,a6e6 f3f8 e8f8 e7f8q,600,94,91,148,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/GntOxvvC/black#80,
04Mor,r1b1r1k1/pppnqpbp/3p1np1/6N1/2PPp3/4P1P1/PPQ2PBP/RNBR2K1 w - - 2 11,g5e4 f6e4 g2e4 e7e4 c2e4 e8e4,1332,139,38,16,advantage long opening,https://lichess.org/xq9y5a2o#21,Kings_Indian_Defense,Kings_Indian_Defense_Normal_Variation
04Mtz,rn1qk2r/pbppnpb1/1p2p3/4P2p/2PP2pB/2N5/PP1N1PPP/R2QKB1R b KQkq - 1 11,f7f5 e5f6 g7f6 h4f6,1435,81,72,694,crushing enPassant fork opening short,https://lichess.org/8FDcdoZx/black#22,Modern_Defense,Modern_Defense_Other_variations
04Mua,6k1/R4p2/P3p2p/3p1rp1/8/8/5r2/R5K1 b - - 5 42,f2b2 a7b7 b2e2 a6a7 f5f2 a7a8q,1889,74,91,735,advancedPawn advantage endgame long master masterVsMaster promotion rookEndgame,https://lichess.org/VJsRZsLH/black#84,
04Muh,r3k1nr/1pp1bppp/p1n1p1q1/4P2b/P2P4/2N1BN2/1P2BPPP/R2Q1RK1 w kq - 3 13,e2d3 h5f3 d3g6 f3d1 g6f7 e8f7,1209,75,86,456,advantage long middlegame pin,https://lichess.org/1XAGdFhE#25,Queens_Pawn_Game,Queens_Pawn_Game_Zukertort_Variation
04N9V,1b2rrk1/1R4pp/8/1pPp4/3Np2q/2P1Q3/1P3PPP/4R1K1 w - - 2 23,h2h3 b8f4 e3e2 e4e3 d4f3 e3f2,2135,85,72,30,advancedPawn advantage kingsideAttack long middlegame,https://lichess.org/n3fKqYIp#45,
04NDb,1k1r4/p1q2pp1/Qp2p3/3n3p/1b5P/1N3BP1/P4PK1/2R5 b - - 4 27,d5c3 a2a3 c7c8 a6c8 d8c8 a3b4,1733,73,94,3896,advantage long master middlegame,https://lichess.org/iugvSqJM/black#54,
04NEC,1k5r/1pp4p/p7/3r4/3n2Q1/1P6/P4PP1/2R2RK1 w - - 0 26,g4g7 d4e2 g1h1 d5h5,1500,75,97,10537,endgame fork mate mateIn2 short,https://lichess.org/glBJxTEP#51,
04NEq,rnb1kbr1/pppp1Npp/5q2/2n5/2B5/5P2/PPPP2PP/RNBQK2R w KQq - 1 7,b1c3 f6h4 g2g3 h4c4,1616,75,93,608,advantage fork opening short,https://lichess.org/uZ73yQJE#13,Russian_Game,Russian_Game_Damiano_Variation
04NV2,7r/p5KP/1b6/8/P6R/1P1k4/8/8 b - - 8 46,b6d4 h4d4 d3d4 g7h8,1096,76,92,1029,crushing endgame short,https://lichess.org/tkbDzn7V/black#92,
04NVI,6k1/1p3p2/p1p5/4P2Q/1P3P1P/P5K1/8/6q1 w - - 1 40,g3f3 g1d1 f3g2 d1h5,1234,77,73,629,crushing endgame queenEndgame short skewer,https://lichess.org/GYwYzBnd#79,
04NVS,3r1r2/pb2qpkp/1pp1p1p1/3nPN2/3P4/P4BPR/1P3PP1/2QR1K2 b - - 1 25,e6f5 c1h6 g7h8 h6h7,1250,235,100,11,mate mateIn2 middlegame short,https://lichess.org/4OzFu6Us/black#50,
04NYp,6k1/p4p2/bp5p/3p2p1/6P1/4P1BP/P2R1PK1/2r5 w - - 5 30,d2d5 a6b7 e3e4 b7d5,1534,87,43,26,crushing endgame pin short,https://lichess.org/Njlr2Mzw#59,
